title,imdb_id,poster_path,wiki_link
Aag Ka Gola,tt0177489,https://upload.wikimedia.org/wikipedia/en/2/2a/AagKaGolafilm.png,https://en.wikipedia.org/wiki/Aag_Ka_Gola
Ram Lakhan,tt0098168,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Ram_Lakhan_poster.jpg/220px-Ram_Lakhan_poster.jpg,https://en.wikipedia.org/wiki/Ram_Lakhan
Asmaan Se Ooncha,tt0233146,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Aazmaanseooncha.png/220px-Aazmaanseooncha.png,https://en.wikipedia.org/wiki/Asmaan_Se_Ooncha
Tridev,tt0100816,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Tridevfilm.jpg/220px-Tridevfilm.jpg,https://en.wikipedia.org/wiki/Tridev
ChaalBaaz,tt0122427,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/ChaalBaaz.jpg/220px-ChaalBaaz.jpg,https://en.wikipedia.org/wiki/ChaalBaaz
Batwara,tt0096896,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Batwara_poster.jpg/220px-Batwara_poster.jpg,https://en.wikipedia.org/wiki/Batwara
Bade Ghar Ki Beti,tt0231214,,https://en.wikipedia.org/wiki/Bade_Ghar_Ki_Beti
Bahurani (1989 film),tt0349122,,https://en.wikipedia.org/wiki/Bahurani_(1989_film)
Bhrashtachar,tt0096922,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Bhrashtachar.jpg/220px-Bhrashtachar.jpg,https://en.wikipedia.org/wiki/Bhrashtachar
Billoo Badshah,,,https://en.wikipedia.org/wiki/Billoo_Badshah
Maine Pyar Kiya,tt0100095,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Maine_Pyar_Kiya.jpg/220px-Maine_Pyar_Kiya.jpg,https://en.wikipedia.org/wiki/Maine_Pyar_Kiya
Clerk (1989 film),,,https://en.wikipedia.org/wiki/Clerk_(1989_film)
Daata,tt0405852,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Daatafilm.jpg/220px-Daatafilm.jpg,https://en.wikipedia.org/wiki/Daata
Awara Zindagi,tt0423844,,https://en.wikipedia.org/wiki/Awara_Zindagi
Dav Pech,tt0926191,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Dav_Pech.jpg/220px-Dav_Pech.jpg,https://en.wikipedia.org/wiki/Dav_Pech
Daddy (1989 film),tt0097143,,https://en.wikipedia.org/wiki/Daddy_(1989_film)
Dana Paani,tt0373778,https://upload.wikimedia.org/wikipedia/en/9/99/Dana_Paanifilm.jpg,https://en.wikipedia.org/wiki/Dana_Paani
Chandni,tt0097045,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Chandni_poster.jpg/220px-Chandni_poster.jpg,https://en.wikipedia.org/wiki/Chandni
Eeshwar (1989 film),tt0097264,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Eshwarfilm.jpg/220px-Eshwarfilm.jpg,https://en.wikipedia.org/wiki/Eeshwar_(1989_film)
Desh Ke Dushman,,,https://en.wikipedia.org/wiki/Desh_Ke_Dushman
Do Qaidi,tt0359169,https://upload.wikimedia.org/wikipedia/en/thumb/4/42/Do_Qaidi.jpg/220px-Do_Qaidi.jpg,https://en.wikipedia.org/wiki/Do_Qaidi
Gair Kanooni,tt0187043,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Gair-kanooni.jpg/220px-Gair-kanooni.jpg,https://en.wikipedia.org/wiki/Gair_Kanooni
Gawaahi,tt0215789,,https://en.wikipedia.org/wiki/Gawaahi
Chingari (1989 film),tt0172509,,https://en.wikipedia.org/wiki/Chingari_(1989_film)
Hero Hiralal,tt0093182,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Hero_Hiralal.jpg/220px-Hero_Hiralal.jpg,https://en.wikipedia.org/wiki/Hero_Hiralal
Ghar Ka Chiraag,tt0363634,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Ghar_Ka_Chiraag_1989.jpg/220px-Ghar_Ka_Chiraag_1989.jpg,https://en.wikipedia.org/wiki/Ghar_Ka_Chiraag
