crew_id,name,born_year,death_year,profession,known_for
nm0000636,William Shakespeare,1564,1616,writer|soundtrack|miscellaneous,tt3894536|tt5377528|tt5932378|tt8632012
nm0002005,Agatha Christie,1890,1976,writer|camera_department,tt3402236|tt0029171|tt0051201|tt1349600
nm0002042,Charles Dickens,1812,1870,writer|soundtrack|miscellaneous,tt0096061|tt0063385|tt0095776|tt0119223
nm0002172,Mukul Anand,1951,1997,director|writer|producer,tt0104607|tt0102201|tt0098999|tt0092026
nm0002411,Mani Kaul,1944,2011,director|writer|actor,tt0207626|tt0066514|tt0070009|tt0102515
nm0002695,Amit Khanna,1951,\N,producer|soundtrack|music_department,tt0154788|tt0213239|tt0232626|tt0154653
nm0003939,Vikramaditya Motwane,1976,\N,producer|writer|director,tt0238936|tt3322420|tt1639426|tt1327035
nm0004072,Kaizad Gustad,1968,\N,director|writer|miscellaneous,tt0330082|tt3309662|tt0168529|tt0819646
nm0004292,Raj Kapoor,1924,1988,actor|producer|director,tt0066070|tt0152139|tt0058547|tt0084532
nm0004363,Rakesh Roshan,1949,\N,actor|producer|director,tt1029231|tt0432637|tt0254481|tt0234000
nm0004417,Taraka Rama Rao Nandamuri,1923,1996,actor|director|writer,tt0259576|tt0259579|tt0259261|tt0259242
nm0004466,E.V.V. Satyanarayana,1956,2011,director|writer|producer,tt1606217|tt1791479|tt1258121|tt0282554
nm0004470,Veerendranath Yandamoori,\N,\N,writer|director|actor,tt0245995|tt0246255|tt0186807|tt0246008
nm0004564,Hema Malini,1948,\N,actress|producer|director,tt0337578|tt0073707|tt0081147|tt0072026
nm0006005,Salil Choudhury,1923,1995,composer|soundtrack|music_department,tt0056367|tt0045693|tt0066763|tt0050665
nm0006182,Anu Malik,1960,\N,composer|music_department|soundtrack,tt0347473|tt0374887|tt3495030|tt0106333
nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
nm0006370,Manoj Kumar,1937,\N,actor|writer|music_department,tt0072100|tt0233464|tt0146335|tt0149814
nm0006498,Majid Majidi,1959,\N,director|writer|actor,tt0233841|tt0118849|tt0117315|tt0191043
nm0006659,Khalid Mohamed,\N,\N,writer|director|actor,tt0255713|tt0438981|tt0348172|tt0248012
nm0006689,Preity Zinta,1975,\N,actress|producer|writer,tt0347304|tt0323013|tt0420332|tt0292490
nm0006765,Vidhu Vinod Chopra,\N,\N,writer|producer|director,tt0456144|tt0374887|tt1187043|tt2338151
nm0006769,Narasa Raju D.V.,1920,2006,writer|director,tt0333067|tt0266880|tt0352488|tt0247203
nm0006795,Salman Khan,1965,\N,actor|producer|soundtrack,tt1620719|tt2016894|tt3863552|tt4832640
nm0007113,Nana Patekar,1951,\N,actor|music_department|director,tt0110280|tt0402014|tt0451631|tt6929642
nm0007124,Suhasini,1961,\N,actress|writer|producer,tt3862704|tt0235617|tt0155180|tt3037162
nm0007131,Subhash Ghai,1945,\N,writer|producer|actor,tt0107311|tt0119861|tt0152836|tt0102844
nm0007134,Farah Khan,1965,\N,miscellaneous|actress|writer,tt2461132|tt0292490|tt0347473|tt1024943
nm0007144,Santosh Sivan,\N,\N,cinematographer|director|producer,tt0249371|tt0169302|tt0295294|tt0870195
nm0007147,Dev Anand,1923,2011,actor|producer|director,tt0053980|tt0059246|tt0066241|tt0051806
nm0007161,S.V. Krishna Reddy,\N,\N,director|writer|composer,tt1575575|tt0267790|tt1579904|tt1579734
nm0007173,Rabindranath Tagore,1861,1941,writer|music_department|soundtrack,tt6255836|tt2048726|tt0259458|tt0057935
nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
nm0007477,Paul Aaron,1943,\N,director|producer|writer,tt0101452|tt0081259|tt0089569|tt0112205
nm0007815,Khwaja Ahmad Abbas,1914,1987,writer|director|producer,tt0152400|tt0064915|tt0050820|tt0044360
nm0008290,Mohsin Abdullah,\N,\N,actor|writer|miscellaneous,tt0057332|tt0139237|tt0060444|tt0044360
nm0011978,Nasir Adib,\N,\N,writer,tt11219866|tt9138070|tt11231374|tt0251144
nm0011996,Vishwamitter Adil,1919,2002,writer|assistant_director|music_department,tt0048181|tt1843180|tt0061650|tt0306065
nm0012541,Nikkhil Advani,1971,\N,writer|director|producer,tt1172587|tt2385104|tt6084582|tt0347304
nm0012892,Ahathian,\N,\N,director|writer,tt0292552|tt0244794|tt0984202|tt8238236
nm0013026,Jalal Agha,\N,1995,actor|director|writer,tt0083987|tt0073707|tt6291976|tt0172509
nm0013158,Atul Agnihotri,1970,\N,actor|producer|director,tt1729637|tt10888594|tt0396563|tt1087856
nm0013838,S.M. Ahale,\N,\N,writer|miscellaneous,tt0274019|tt0110076|tt0100095
nm0014180,Sultan Ahmed,\N,2002,director|producer|writer,tt0343850|tt0405852|tt0077596|tt0070166
nm0015286,Jan Nissar Akhtar,1914,1976,music_department|soundtrack|writer,tt0286499|tt0154236|tt0139048|tt0133188
nm0015287,Javed Akhtar,1945,\N,music_department|writer|soundtrack,tt0169102|tt0449994|tt1024943|tt1787988
nm0015292,Salim Akhtar,\N,\N,producer|assistant_director|writer,tt0121989|tt0177483|tt0267617|tt0395519
nm0015295,Zoya Akhtar,1972,\N,writer|producer|director,tt2395469|tt1787988|tt1562872|tt4110568
nm0015296,Akhtar-Ul-Iman,1915,\N,writer|actor|director,tt0059893|tt0060689|tt0175450|tt0176012
