imdb_id,imdb_rating,imdb_votes
tt1187043,8.4,310481
tt0886539,7.0,8979
tt1275863,6.8,13609
tt1084972,6.6,17321
tt1043451,6.0,6452
tt1340838,5.6,2976
tt1252594,3.8,41
tt1252596,6.3,11190
tt1438486,4.6,247
tt1230448,6.1,9507
tt1183946,7.4,2197
tt0438894,3.3,120
tt1391544,5.6,613
tt0483701,3.0,115
tt1170411,3.7,427
tt1274295,7.4,15696
tt1369669,3.5,237
tt1119188,6.7,348
tt1261047,8.1,12799
tt1305840,5.8,860
tt1202517,6.8,932
tt1263679,7.4,1796
tt1372681,5.0,812
tt1370429,7.3,2521
tt1454461,4.8,286
tt1420539,4.2,43
tt1278447,6.4,250
tt1479857,6.4,46
tt1176961,4.2,471
tt1328634,6.8,9656
tt1252614,6.2,574
tt1229390,3.4,806
tt1242782,4.8,2187
tt1229366,5.2,1176
tt1404573,3.9,331
tt1372266,5.4,256
tt1002963,7.8,871
tt1479667,5.1,354
tt1135931,5.8,168
tt1176911,5.9,757
tt1324076,5.2,512
tt1508950,5.2,287
tt1236441,6.9,70
tt1512321,5.4,327
tt1202540,4.5,3528
tt1242530,4.6,2417
tt1201557,5.0,625
tt1433905,6.1,5100
tt1324059,7.6,25630
tt1174041,3.6,2494
tt1223922,3.7,4203
tt8823390,7.4,10
tt1634329,3.0,59
tt1227762,4.6,2540
tt0486615,5.4,3905
tt1245774,6.2,1097
tt1522329,4.9,1296
tt1185442,5.7,4351
tt1255951,5.3,6357
tt1532957,7.2,10796
tt1434447,7.5,16941
tt1210356,6.3,504
tt1570417,3.9,274
tt1091229,4.0,7266
tt1185420,6.5,12910
tt1017456,6.6,11830
tt1182937,7.1,40973
tt1166100,7.3,53086
tt1146325,5.7,13333
tt1092005,5.1,6427
tt0449994,7.6,27541
tt1182972,6.2,9439
tt0991346,6.3,7053
tt0490210,6.8,6798
tt0892874,6.1,2045
tt1127869,7.0,43
tt1159917,4.6,397
tt1199534,6.2,47
tt1039989,5.3,2349
tt1176960,5.2,2226
tt1182908,4.2,1832
tt1039995,5.9,2325
tt1224454,6.0,88
tt0995752,3.8,4580
tt0885398,3.3,238
tt1228707,1.5,176
tt1216300,6.9,5196
tt1446055,4.9,53
tt1043876,3.4,370
tt1170404,5.3,1716
tt1260689,6.4,224
tt1024839,4.0,748
tt1252488,3.4,224
tt1267400,4.2,37
tt1191138,4.9,2093
tt1220718,5.5,155
tt1105733,5.2,4894
tt0490170,2.6,2157
tt1242843,4.2,213
tt1179781,3.4,980
tt1126516,2.8,515
tt0476550,3.6,3344
tt1266583,7.7,5305
tt1132595,3.1,466
tt1230165,7.8,19565
tt1170399,5.4,894
tt1266545,4.0,474
tt1287847,6.9,358
tt1213928,7.1,773
tt1301698,6.4,2588
tt1039969,7.0,1000
tt1221139,6.9,2895
tt1241334,5.2,93
tt1255873,1.9,260
tt1060249,2.0,2269
tt1087856,3.3,1769
tt1156148,2.1,1117
tt1114725,5.6,1896
tt1050739,5.2,1184
tt1194608,5.3,392
tt1158700,1.5,1682
tt0964516,6.9,11055
tt1288638,7.8,5612
tt1105747,4.1,3707
tt1292703,7.7,15014
tt1312135,5.4,250
tt1327833,6.1,1001
tt0983990,7.9,1121
tt1024852,4.0,86
tt1372304,3.9,66
tt1372694,3.7,72
tt1218345,5.8,615
tt0473310,1.7,6421
tt0995840,2.1,1548
tt0875692,4.0,259
tt0953306,6.7,784
tt0986213,6.3,2693
tt0814014,6.0,2514
tt1020937,7.2,5862
tt1014672,7.6,10459
tt0995031,7.2,19469
tt1214948,4.1,103
tt0476762,3.8,710
tt1151299,6.4,25
tt1107308,3.2,24
tt1073097,6.2,144
tt0400234,8.5,16761
tt0457802,7.6,1663
tt0893395,8.2,187
tt1083447,2.5,332
tt0872190,3.4,1698
tt0976026,6.8,4595
tt1108831,4.7,84
tt1085806,3.8,544
tt0871510,8.2,68421
tt0845448,7.2,11567
tt1120897,4.9,2157
tt1047459,8.0,912
tt1083988,4.5,309
tt1090650,6.3,405
tt1099196,7.0,2623
tt0995035,6.2,4203
tt0995718,7.3,4346
tt1353093,5.8,57
tt0459293,7.3,1508
tt0459652,4.5,62
tt0823451,5.7,1443
tt0459605,6.1,2983
tt1016177,2.8,133
tt0982875,3.6,101
tt0806088,6.0,12013
tt0499375,7.7,20404
tt0808306,6.1,2087
tt1236470,4.3,29
tt0833476,3.7,2865
tt1093370,7.9,43507
tt0489486,3.7,1541
tt0493417,3.3,1713
tt0995823,6.3,477
tt1077248,7.8,10612
tt0785004,5.4,434
tt0887753,3.6,319
tt0857385,3.6,64
tt1079967,2.0,130
tt0985636,5.3,2160
tt0800956,7.4,10056
tt1012757,7.0,749
tt0920464,7.7,6013
tt0329354,4.8,1765
tt0860454,7.1,2028
tt0979891,4.2,416
tt1020978,5.3,1241
tt1127870,5.0,176
tt0433416,7.5,18211
tt0795434,7.1,19769
tt0397551,4.7,601
tt0476819,3.8,435
tt0824375,5.4,1494
tt0995740,7.2,5817
tt1024943,6.7,35974
tt0807758,5.7,10305
tt0898943,4.2,263
tt0845494,6.0,364
tt0979913,5.9,245
tt0845529,6.7,517
tt0845535,2.4,525
tt1047519,2.9,209
tt0485272,5.1,4943
tt0758053,5.3,6957
tt0476861,4.2,100
tt1020899,6.4,84
tt0896968,3.3,284
tt0811066,7.1,8778
tt0882967,5.0,325
tt0984122,7.0,327
tt0986264,8.4,148498
tt0833553,5.6,3845
tt0816657,2.9,480
tt0819810,6.5,1356
tt0995827,4.3,950
tt1152845,3.8,108
tt4249442,6.5,24
tt0488798,6.8,15994
tt0477252,5.6,3862
tt0389551,3.5,8
tt0810058,3.5,781
tt0831840,7.0,1290
tt0476729,4.8,1001
tt0813996,3.8,1076
tt0800981,5.4,564
tt0493437,5.2,1697
tt0495022,4.1,338
tt0470611,6.3,128
tt0419468,5.4,2836
tt0465376,4.3,15
tt2435680,5.1,7
tt0412308,7.2,2501
tt0449189,6.2,301
tt0808164,5.9,461
tt0805184,6.3,9329
tt0454429,4.7,168
tt0897413,4.1,116
tt2668860,7.3,21
tt0454396,4.5,283
tt0464160,6.7,7045
tt0488381,6.5,1831
tt0476649,5.4,1705
tt0946999,6.3,406
tt0814082,3.4,429
tt0471646,5.3,312
tt0841096,4.7,34
tt0441048,6.5,21960
tt0824316,8.0,5255
tt0461936,7.2,32312
tt0437182,5.6,1740
tt0439662,7.2,29219
tt0495032,7.1,4906
tt0495034,7.4,13600
tt0797833,4.3,30
tt0456413,3.2,1260
tt5216486,6.3,7
tt0444840,5.2,3709
tt0314186,4.8,488
tt0857381,4.1,1060
tt0827714,2.8,157
tt0456481,6.0,7571
tt0485466,2.8,433
tt0461062,4.7,134
tt0880464,4.7,39
tt0466460,8.3,20538
tt0449999,6.1,17001
tt0833493,4.2,37
tt0456144,8.1,39486
tt0770214,6.8,2923
tt0819777,3.6,255
tt0432637,6.3,16590
tt0476805,6.9,4892
tt0488414,8.1,17594
tt0480572,6.7,2850
tt0813540,3.1,916
tt0419058,6.7,13821
tt0461323,3.2,745
tt0418880,3.5,824
tt0107867,5.7,23
tt0466965,6.0,22
tt0405508,8.2,103071
tt0430589,4.0,936
tt0430202,5.4,703
tt0489560,4.0,691
tt0470521,2.2,712
tt0831816,4.0,314
tt0833537,4.8,34
tt0475627,4.9,990
tt0118849,8.3,56293
tt0444915,4.5,399
tt0833484,4.6,929
tt0485522,5.5,1757
tt0476884,7.2,8717
tt0779768,2.5,272
tt0494290,6.6,8290
tt0489582,4.4,27
tt0892113,7.0,195
tt0833561,6.6,1115
tt0470614,6.7,584
tt0785069,5.7,61
tt0823261,4.0,227
tt0476888,3.2,515
tt0477253,4.2,1396
tt0874854,4.0,61
tt0451631,7.4,3846
tt0451639,2.7,194
tt0453582,5.4,232
tt0444767,4.0,538
tt0363472,4.3,2187
tt0375611,8.2,31658
tt0488906,5.0,3017
tt0476527,6.6,5321
tt0926029,4.8,36
tt0497887,6.6,18
tt0419499,6.5,47
tt0444769,4.1,567
tt0448206,6.2,5769
tt0447890,4.0,67
tt0487149,3.2,39
tt0466367,4.9,47
tt0454431,4.8,1780
tt0454435,6.8,1126
tt0444781,5.3,4107
tt0483239,3.7,47
tt0449870,3.8,112
tt0442764,4.8,306
tt0449228,5.5,2286
tt0454433,4.9,47
tt0415768,5.5,2873
tt0416712,4.4,634
tt0444820,4.3,148
tt0457875,5.2,1485
tt0497620,3.3,66
tt0461209,5.8,552
tt0489028,4.1,41
tt0854114,6.8,184
tt0457940,3.2,549
tt0453671,6.7,12418
tt0453729,8.1,14864
tt0457391,5.8,464
tt0411469,7.9,4413
tt0438875,4.6,1174
tt0436451,3.5,572
tt0444849,5.5,1215
tt0415908,4.6,4432
tt0499041,6.5,2170
tt0470398,4.6,58
tt0488836,7.3,494
tt0454481,3.6,312
tt0396690,4.5,1250
tt0488840,5.4,194
tt0437279,3.3,219
tt0445022,5.5,407
tt0453748,3.4,266
tt0456500,6.1,2956
tt0449306,4.7,3010
tt0444874,4.7,922
tt0451787,5.5,3316
tt0485513,7.3,1794
tt0454504,7.4,673
tt0451803,5.5,4203
tt0346457,6.6,8873
tt0478868,4.8,71
tt0813539,5.1,53
tt0419992,7.3,1083
tt0451824,6.2,834
tt0443594,4.3,724
tt0470869,3.2,1371
tt0451833,6.6,9807
tt0435259,2.5,168
tt0443708,7.3,6474
tt0419974,6.9,290
tt0437407,7.2,8447
tt0473684,5.8,58
tt0451850,6.5,11820
tt0443208,5.1,390
tt0439754,5.9,157
tt0456165,6.2,6230
tt0420123,5.2,33
tt0432047,7.6,14694
tt0477857,7.8,1861
tt0409527,5.1,1262
tt0459133,6.2,48
tt0445056,3.5,238
tt0476848,6.7,872
tt0438981,4.1,661
tt0451919,7.5,6878
tt0328503,5.2,154
tt0444913,6.0,1488
tt0466546,6.5,78
tt0442855,5.6,760
tt0475645,4.4,1896
tt0466398,5.3,53
tt0449389,3.5,786
tt0420304,7.1,1939
tt0390614,6.8,9084
tt1483815,5.0,8
tt0453978,5.1,651
tt0451983,5.4,1717
tt0420332,7.8,45896
tt0347473,7.0,29914
tt0449447,2.9,293
tt0418362,6.7,12411
tt0422091,6.7,16754
tt0347332,7.4,14234
tt0378072,7.0,12376
tt0437238,6.9,5779
tt0405507,5.4,3402
tt0382383,7.4,8045
tt0418460,6.6,9027
tt0377340,4.6,912
tt0397882,4.6,1312
tt0363409,5.7,2626
tt0409724,6.0,550
tt0383975,7.1,1817
tt0363413,5.4,88
tt0368580,3.4,534
tt0410952,5.2,285
tt0387989,6.0,1272
tt0364303,6.9,1242
tt0328729,5.1,1663
tt0396563,4.4,1356
tt0430030,3.1,120
tt1137434,2.3,204
tt0432506,4.0,27
tt0414040,4.2,713
tt0422236,5.5,2224
tt0415003,5.5,3122
tt0338959,4.7,136
tt0352314,7.6,6000
tt0414714,3.2,321
tt0432536,4.4,461
tt0440463,6.2,101
tt0408837,2.7,195
tt0419828,6.2,222
tt0421277,4.1,364
tt0400571,5.1,41
tt0349620,5.3,78
tt0442799,2.5,126
tt0405046,4.0,81
tt0379818,6.1,483
tt0357283,7.6,1006
tt0391274,3.7,412
tt0426075,4.4,819
tt0408976,5.1,815
tt0349703,4.2,1610
tt0430328,4.6,350
tt0323013,7.9,18777
tt0392950,3.1,139
tt0379370,8.2,7997
tt0406977,6.2,5413
tt0366761,6.2,280
tt0430381,5.5,1600
tt0054098,8.3,6480
tt0409068,4.4,172
tt0187279,3.9,627
tt0433605,4.2,543
tt0349878,7.5,913
tt0399942,5.2,730
tt0422950,6.1,1590
tt0364604,4.2,779
tt0416120,4.6,697
tt0396782,4.1,122
tt0430480,4.0,79
tt0418096,3.7,554
tt0405266,7.6,3629
tt0366985,2.6,1020
tt0414503,5.2,90
tt0411815,4.8,1167
tt0423087,4.4,1824
tt0402606,2.4,133
tt0367110,8.2,76737
tt0435437,4.4,2250
tt0415943,7.4,25
tt0410591,3.7,141
tt0430702,4.5,623
tt0416282,4.9,585
tt0385351,3.8,1519
tt0410954,6.3,56
tt0306228,4.9,990
tt0420250,5.7,15
tt0254481,7.1,19430
tt0347304,8.0,58925
tt0435390,5.3,130
tt0346723,6.5,13604
tt0347167,5.2,1901
tt0337578,7.4,14248
tt0265148,4.0,3928
tt0347416,5.1,2284
tt0374887,8.1,67148
tt0364621,4.7,1978
tt0349058,4.6,59
tt0338490,7.9,2029
tt0389726,6.1,98
tt0348521,4.8,232
tt0341266,6.5,3017
tt0330082,2.3,1277
tt0426863,3.3,14
tt0346507,5.3,2122
tt0346507,5.3,2122
tt0331851,5.2,1025
tt0326805,4.8,781
tt0366276,5.7,446
tt0349115,3.1,304
tt0377126,7.5,26
tt0309800,3.9,89
tt0330217,4.7,1474
tt0349333,6.3,2734
tt0387164,7.2,218
tt0353351,2.3,232
tt0345043,3.7,443
tt0397941,7.6,810
tt0314006,5.6,1470
tt0391079,4.8,76
tt0832297,7.0,42
tt0374660,5.3,712
tt0312664,4.5,155
tt0380337,4.0,75
tt0373856,7.8,14295
tt0369516,3.3,272
tt0362696,7.6,2399
tt0402178,8.7,333
tt0354538,5.2,1682
tt0371735,7.5,11388
tt0292527,5.9,179
tt0361625,7.2,421
tt0348644,4.7,47
tt0391165,4.6,738
tt0385782,5.3,131
tt0340178,4.1,402
tt0362771,6.0,3647
tt0378025,6.2,143
tt0368811,5.7,516
tt0348843,5.2,1933
tt0347278,7.2,1839
tt0392033,7.4,17
tt0378157,6.2,42
tt0352489,5.2,80
tt0371775,4.0,432
tt0366630,2.9,327
tt0366658,3.8,28
tt0348656,4.4,1458
tt0349679,4.2,186
tt0348662,4.2,762
tt0369637,5.4,2123
tt0374848,6.0,488
