imdb_id,title,original_title,is_adult,year_of_release,runtime,genres
tt0073707,Sholay,Sholay,0,1975,198,Action|Adventure|Comedy
tt0246825,Om Dar-B-Dar,Om Dar-B-Dar,0,1988,101,Drama
tt0403935,Action Jackson,Action Jackson,0,2014,144,Action|Thriller
tt0443331,Milenge Milenge,Milenge Milenge,0,2010,109,Drama|Romance
tt0839742,Bhopal: A Prayer for Rain,Bhopal: A Prayer for Rain,0,2014,96,Drama
tt0988655,A Flat,A Flat,0,2010,103,Drama|Horror|Romance
tt10017956,Gone Kesh,Gone Kesh,0,2019,110,Drama
tt10196464,Ramprasad Ki Tehrvi,Ramprasad Ki Tehrvi,0,\N,\N,Comedy|Drama
tt10324144,Article 15,Article 15,0,2019,130,Crime|Drama
tt10443846,Yeh Saali Aashiqui,Yeh Saali Aashiqui,0,2019,\N,Thriller
tt10635372,Dee Saturday Night,Dee Saturday Night,0,2014,\N,Drama
tt10816510,P Se Pyaar F Se Faraar,P Se Pyaar F Se Faraar,0,2019,131,Crime|Drama|Romance
tt11007050,#Yaaram,#Yaaram,0,2019,\N,Comedy|Romance
tt11046300,Ujda Chaman,Ujda Chaman,0,2019,120,Comedy
tt1124386,Pankh,Pankh,0,2010,98,Drama
tt1127220,Mr Bhatti on Chutti,Mr Bhatti on Chutti,0,2012,\N,Comedy
tt1172587,Delhi Safari,Delhi Safari,0,2012,96,Animation|Comedy|Drama
tt1182884,Dulha Mil Gaya,Dulha Mil Gaya,0,2010,152,Comedy|Drama|Romance
tt1183917,Teen Patti,Teen Patti,0,2010,142,Crime|Drama|Thriller
tt1183944,Sadiyaan: Boundaries Divide... Love Unites,Sadiyaan: Boundaries Divide... Love Unites,0,2010,200,Drama|Romance
tt1185412,Veer,Veer,0,2010,169,Action|Adventure|Drama
tt1188982,Jai Ho,Jai Ho,0,2014,135,Action|Drama
tt1188996,My Name Is Khan,My Name Is Khan,0,2010,165,Drama
tt1189006,Toonpur Ka Superrhero,Toonpur Ka Superrhero,0,2010,95,Action|Adventure|Animation
tt1191118,Hello Darling,Hello Darling,0,2010,\N,Comedy|Drama
tt1191130,Right Yaaa Wrong,Right Yaaa Wrong,0,2010,135,Crime|Drama|Thriller
tt1194232,Jaane Kahan Se Aayi Hai,Jaane Kahan Se Aayi Hai,0,2010,94,Comedy|Drama|Fantasy
tt1194236,Paathshaala,Get Educated: Paathshaala,0,2010,122,Drama|Family
tt1198101,Kites,Kites,0,2010,123,Action|Drama|Romance
tt1221147,Tera Kya Hoga Johnny,Tera Kya Hoga Johnny,0,2009,155,Crime|Drama|Thriller
tt1227524,Aashayein,Aashayein,0,2010,120,Drama
tt1239276,Colours of Passion,Rang Rasiya,0,2008,132,Biography|Drama|Romance
tt1244093,Hisss,Hisss,0,2010,98,Comedy|Drama|Horror
tt1245732,Red Alert: The War Within,Red Alert: The War Within,0,2009,120,Action|Drama|Thriller
tt1279105,Ramaa: The Saviour,Ramaa: The Saviour,0,2010,120,Action|Adventure|Drama
tt1285241,Don 2,Don 2,0,2011,148,Action|Crime|Thriller
tt1285245,Lahore,Lahore,0,2010,145,Action|Drama|Sport
tt1286766,Fatso!,Fatso!,0,2012,98,Comedy|Fantasy|Romance
