title,imdb_id,poster_path,wiki_link
3 Idiots,tt1187043,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/3_idiots_poster.jpg/220px-3_idiots_poster.jpg,https://en.wikipedia.org/wiki/3_Idiots
Luck by Chance,tt0886539,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Luckbychance.jpg/220px-Luckbychance.jpg,https://en.wikipedia.org/wiki/Luck_by_Chance
Love Aaj Kal,tt1275863,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Love_Aaj_Kal_Movie_Poster.jpg/220px-Love_Aaj_Kal_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Love_Aaj_Kal
Wanted (2009 film),tt1084972,https://upload.wikimedia.org/wikipedia/en/thumb/2/26/Wanted7.jpg/220px-Wanted7.jpg,https://en.wikipedia.org/wiki/Wanted_(2009_film)
Delhi-6,tt1043451,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Delhi-6.jpg/220px-Delhi-6.jpg,https://en.wikipedia.org/wiki/Delhi-6
Raaz: The Mystery Continues,tt1340838,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Raaz-The_Mystery_Continues_poster.jpg/220px-Raaz-The_Mystery_Continues_poster.jpg,https://en.wikipedia.org/wiki/Raaz_%E2%80%93_The_Mystery_Continues
Aasma: The Sky Is the Limit,tt1252594,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Aasma%2C_The_Sky_Is_the_Limit.jpeg/220px-Aasma%2C_The_Sky_Is_the_Limit.jpeg,https://en.wikipedia.org/wiki/Aasma:_The_Sky_Is_the_Limit
Ajab Prem Ki Ghazab Kahani,tt1252596,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Ajab-prem.jpg/220px-Ajab-prem.jpg,https://en.wikipedia.org/wiki/Ajab_Prem_Ki_Ghazab_Kahani
Chal Chala Chal,tt1438486,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Chal_Chala_Chal.jpg/220px-Chal_Chala_Chal.jpg,https://en.wikipedia.org/wiki/Chal_Chala_Chal
Billu,tt1230448,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Billu-poster.jpg/220px-Billu-poster.jpg,https://en.wikipedia.org/wiki/Billu
The Stoneman Murders,tt1183946,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/The_Stoneman_Murders_poster.jpg/220px-The_Stoneman_Murders_poster.jpg,https://en.wikipedia.org/wiki/The_Stoneman_Murders
Kisse Pyaar Karoon,tt0438894,,https://en.wikipedia.org/wiki/Kisse_Pyaar_Karoon
Dhoondte Reh Jaaoge,tt1391544,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Dhoondte_Reh_Jaoge_Poster.JPG/220px-Dhoondte_Reh_Jaoge_Poster.JPG,https://en.wikipedia.org/wiki/Dhoondte_Reh_Jaaoge
Karma Aur Holi,tt0483701,https://upload.wikimedia.org/wikipedia/en/0/06/Karma_Aur_Holi.jpg,https://en.wikipedia.org/wiki/Karma_Aur_Holi
Victory (2009 film),tt1170411,https://upload.wikimedia.org/wikipedia/en/1/19/Victory_hindi.jpg,https://en.wikipedia.org/wiki/Victory_(2009_film)
Kaminey,tt1274295,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Kamineyposter.jpg/220px-Kamineyposter.jpg,https://en.wikipedia.org/wiki/Kaminey
Jai Veeru,tt1369669,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Jaiveeru2.jpg/220px-Jaiveeru2.jpg,https://en.wikipedia.org/wiki/Jai_Veeru
Little Zizou,tt1119188,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Little_Zizou_Poster.jpg/220px-Little_Zizou_Poster.jpg,https://en.wikipedia.org/wiki/Little_Zizou
Gulaal (film),tt1261047,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Gulaal.jpg/220px-Gulaal.jpg,https://en.wikipedia.org/wiki/Gulaal_(film)
Aloo Chaat (film),tt1305840,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Aloo_Chaat_poster.jpg/220px-Aloo_Chaat_poster.jpg,https://en.wikipedia.org/wiki/Aloo_Chaat_(film)
Barah Aana,tt1202517,https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/Barahaana.jpg/220px-Barahaana.jpg,https://en.wikipedia.org/wiki/Barah_Aana
Firaaq,tt1263679,https://upload.wikimedia.org/wikipedia/en/9/93/Firaaq.jpg,https://en.wikipedia.org/wiki/Firaaq
Straight (2009 film),,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Straight_%28film%29.jpg/220px-Straight_%28film%29.jpg,https://en.wikipedia.org/wiki/Straight_(2009_film)
Aa Dekhen Zara,tt1372681,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/Aadekhezaraposter.jpg/220px-Aadekhezaraposter.jpg,https://en.wikipedia.org/wiki/Aa_Dekhen_Zara
99 (2009 film),tt1370429,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/99Poster.jpg/220px-99Poster.jpg,https://en.wikipedia.org/wiki/99_(2009_film)
Ek: The Power of One,tt1454461,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Ekthepowerofone_poster.jpg/220px-Ekthepowerofone_poster.jpg,https://en.wikipedia.org/wiki/Ek:_The_Power_of_One
Ek Se Bure Do,tt1420539,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Ek_Se_Bure_Do.jpg/220px-Ek_Se_Bure_Do.jpg,https://en.wikipedia.org/wiki/Ek_Se_Bure_Do
Sikandar (2009 film),tt1278447,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Sikandar%2C_2009_film_poster.jpg/220px-Sikandar%2C_2009_film_poster.jpg,https://en.wikipedia.org/wiki/Sikandar_(2009_film)
Zor Lagaa Ke...Haiya!,tt1479857,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Zor_Laga_Ke_HaiyaMithun.jpg/220px-Zor_Laga_Ke_HaiyaMithun.jpg,https://en.wikipedia.org/wiki/Zor_Lagaa_Ke...Haiya!
Let's Dance (2009 film),,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Lets_Dance_Poster.jpg/220px-Lets_Dance_Poster.jpg,https://en.wikipedia.org/wiki/Let%27s_Dance_(2009_film)
