imdb_id,directors,writers
tt0042184,nm0025608,nm0025608|nm0324690
tt0042207,nm0490178,nm0161032|nm1879927
tt0042225,nm0707533,\N
tt0042233,nm0788880,nm0592578|nm0788880
tt0042380,nm0439074,nm1278450|nm0438022|nm1301772
tt0043306,nm0004292,nm0007815|nm0766150
tt0043307,nm0244870,nm0244870|nm0756379
tt0043310,nm0707988,nm0471424
tt0043842,nm0442395,nm0025613|nm0707299
tt0043997,nm0592991,\N
tt0044318,nm0006371,nm0159342|nm0713593
tt0044318,nm0006371,nm0159342|nm0713593
tt0044360,nm0007815,nm0007815|nm0008290|nm0766150
tt0044361,nm0474885,\N
tt0044392,nm0080332,nm0159342|nm0765167|nm0856902|nm0957637
tt0044527,nm0149810,nm0066074|nm0149810|nm0788169
tt0044761,nm0244870,nm0244870
tt0044769,nm0595271,nm0378773|nm0837151|nm0444472|nm10596791|nm10596792|nm0239234|nm1845773|nm0494797|nm2213367
tt0045467,nm0623178,nm0025613
tt0045506,nm0419365,nm0125223|nm0403826|nm0756488
tt0045524,nm0201875,nm3491659|nm0201875|nm3515055|nm0440589|nm3515736|nm1233958|nm1656348
tt0045529,nm0244870,nm0084259|nm0244870|nm1524886
tt0045693,nm0746950,nm0006005|nm0536819|nm0611531
tt0046164,nm0746950,nm0080358|nm0154158|nm2504508|nm0310170|nm0315905|nm0746950|nm5556806
tt0046673,nm0244870,nm0023551|nm0315905
tt0046703,nm0006371,nm0050503|nm0440589|nm0576526|nm0707938|nm0713593
tt0046780,nm0746950,nm0154158|nm0315905|nm0403826|nm0746950
tt0046799,nm0037022,nm0695325
tt0046799,nm0037022,nm0695325
tt0047060,nm0756393,nm0000636
tt0047271,nm0746950,nm9867487|nm0536819
tt0047439,nm0244870,\N
tt0047561,nm0025608,nm0025608|nm0025628|nm0025629
tt0047796,nm1513884,\N
tt0047816,nm0783995,\N
tt0047990,nm0746950,nm0066074|nm0154158|nm0315905
tt0048181,nm1188796,nm0011996
tt0048271,nm0595271,\N
tt0048392,nm0244870,nm0023551
tt0048395,nm0611582,\N
tt0048410,nm0419365,nm0080346|nm0125223|nm0471424|nm0707543
tt0048537,nm0756488,nm0756488|nm0471443
tt0048613,nm0004292,nm0007815|nm0766150
tt0048756,nm0839348,nm0047983
tt0048756,nm0839348,nm0047983
tt0048816,nm0439074,nm1278450|nm0438022
tt0048987,nm0623178,nm0066074|nm1879645
tt0049041,nm0451846,nm0025613
tt0049071,nm0755500,\N
tt0049072,nm0856893,nm0440589
tt0049072,nm0856893,nm0440589
tt0049138,nm1221485,\N
tt0049175,nm0159148,nm0788888
tt0049243,nm0025608,\N
tt0049378,nm0596237|nm0593963,nm0007815|nm0596237|nm0593963
tt0049412,nm0756393,\N
tt0049545,nm0024061,\N
tt0049549,nm0781830,nm0025613|nm0705556|nm0781830
tt0049600,nm0080332,\N
tt0049654,nm0756487,\N
tt0050090,nm0707988,\N
tt0050188,nm0006371,nm0592599|nm0713593
tt0050322,nm0788391,nm0534848
tt0050587,nm0097887|nm0149810,nm0149810|nm0151522
tt0050665,nm0746950,nm0315547|nm0066074
tt0050665,nm0746950,nm0315547|nm0066074
tt0050734,nm0611531,nm0066074|nm0315547|nm0611531
tt0050757,nm0025629,\N
tt0050758,nm0159148,nm0592578|nm0711150
tt0050820,nm0007815|nm0698661,nm0007815|nm0807077
tt0050829,nm0611582,nm0403826|nm0611582
tt0050829,nm0611582,nm0403826|nm0611582
tt0050870,nm0244870,nm0023551|nm8859896
tt0050870,nm0244870,nm0023551|nm8859896
tt0050956,nm0695264,nm0011996|nm0025613|nm1532688|nm0892850
tt0051117,nm0403826,nm0403826
tt0051335,nm0149850,nm1458520
tt0051340,nm0435753,\N
tt0051348,nm0695153,\N
tt0051705,nm0080297,\N
tt0051747,nm0759662,nm0097894|nm0310170
tt0051806,nm0451846,nm0188743|nm0436464|nm0657157|nm0814343
tt0051842,nm1186384,nm0080432|nm1346840|nm1455842
tt0052051,nm0051847,nm1121795|nm4809989|nm1578646|nm1937411
tt0052065,nm0593945,nm1032369
tt0052116,nm0890320,nm0536706|nm0755997|nm0836918
tt0052154,nm0159148,nm0788888
tt0052201,nm0097899,nm0310170
tt0052217,nm0451846,nm3186301|nm0451846|nm1532889|nm0814343
tt0052411,nm0746950,nm0315905|nm0592599|nm1376487|nm3367312
tt0052411,nm0746950,nm0315905|nm0592599|nm1376487|nm3367312
tt0052560,nm0611531,nm0025613
tt0052560,nm0611531,nm0025613
tt0052736,nm0007181,nm0788888
tt0052926,nm0759662,nm0310170
tt0052940,nm0755500,nm0534864
tt0052954,nm0244870,nm0023551
tt0052960,nm0695170,nm0438022|nm0534864|nm0695170
tt0053035,nm0756487,nm0438022|nm1541002|nm0756487
tt0053152,nm0890320,nm1390825|nm0755997|nm0836918
tt0053319,nm0746950,nm0315905|nm0315926|nm0536819
tt0053566,nm0474839,nm0066074|nm0474839
tt0053629,nm0451846,nm0066074|nm0436464
tt0053637,nm0764314,nm2160957|nm1524886|nm0080445|nm0764314
tt0053706,nm0755500,nm1352005|nm1937411
tt0053708,nm0220828,nm0025613
tt0053728,nm0695153,nm0471424|nm1129275
tt0053767,nm0756393,nm0534877|nm0756393
tt0053767,nm0756393,nm0534877|nm0756393
tt0053791,nm0814343,nm0438653|nm1532889|nm0814343
tt0053928,nm0611550,nm1232217|nm0611550
tt0053965,nm0439731,nm0711156
tt0053965,nm0439731,nm0711156
tt0053980,nm0025629,nm0025629
tt0053985,nm0159148,nm0015296|nm0667948
tt0053999,nm0839348,nm0592599
tt0054059,nm1223541,nm0310170
tt0054098,nm0039339,nm0039339|nm0023863|nm0025399|nm0729815|nm0592599
tt0054098,nm0039339,nm0039339|nm0023863|nm0025399|nm0729815|nm0592599
tt0054302,nm1121795,nm1121795|nm1550599
tt0054430,nm0080358,\N
tt0054591,nm0611531,nm0011996
tt0054737,nm0611531,nm0080432|nm0471424|nm0611520
tt0054910,nm0097887,nm0592599|nm0474801
tt0055035,nm0611582,nm0440589|nm0611582
tt0055039,nm0348472,nm0065991|nm0451099|nm0007173
tt0055164,nm0611531,nm0066074|nm0080432|nm0611531
tt0055220,nm0820232,nm0354648|nm0471424|nm0820232
tt0055276,nm0746950,nm0787589|nm0006005
tt0055385,nm0712540,\N
tt0055444,nm0756488,nm0756488
tt0055508,nm0006249,nm0006249|nm0007173
tt0055767,nm0611562,nm0310170
tt0055783,nm0619048,nm0154123|nm0222743
tt0055930,nm1057948,\N
tt0055949,nm0451846,nm2546706|nm0451846|nm1129275
tt0055949,nm0451846,nm2546706|nm0451846|nm1129275
tt0056047,nm0007815,nm0007815|nm0415535
tt0056052,nm0435753,nm0438653|nm0659760
tt0056120,nm0788158,nm0471424
tt0056213,nm0080406,\N
tt0056232,nm1224744,nm1275836|nm0416078|nm0442657|nm0538297
tt0056367,nm0746950,nm2016411|nm0006005|nm0471424|nm0536819|nm1288520
tt0056379,nm0849195,nm0023551|nm1569099
tt0056394,nm0474775,nm0066074
tt0056436,nm0023551,nm0023551|nm8859896|nm0593946
tt0056805,nm0423660,nm0015296|nm1194308
tt0056806,nm0538297,nm0011996|nm2391475|nm0474869
tt0056850,nm0746950,nm0418577|nm0315905|nm0536819
tt0056850,nm0746950,nm0418577|nm0315905|nm0536819
tt0056866,nm0788158,nm2909860|nm0471424
tt0056998,nm0712544|nm0764314,nm1541014
tt0057024,nm0848342,\N
tt0057120,nm0159148,nm0015296
tt0057162,nm0412465,nm0695609
tt0057332,nm0080358,nm0440589
tt0057356,nm0097887,nm0154123|nm0694888
tt0057409,nm0403826,nm0403826
tt0057555,nm0755500,nm0416078|nm1352005
tt0057568,nm0025629,nm0025629
tt0057699,nm0623320,nm0440589|nm0857061
tt0057815,nm0623320,\N
tt0057882,nm0451099,\N
tt0058045,nm0202545,nm0025613|nm0154123
tt0058257,nm0759662,nm0097894|nm0659760
tt0058270,nm0619048,nm0619048
tt0058287,nm0611550,nm0474801|nm1948916|nm0592599|nm0611550
tt0058467,nm0025613,nm0025613
tt0058547,nm0004292,nm0025613
tt0058759,nm0004570,nm0015296
tt0058772,nm0149850,nm0080432|nm0440589|nm2241280
tt0058774,nm0755997,\N
tt0058921,nm0755997,nm0755997
tt0059023,nm0346618,nm0346618|nm0410870
tt0059246,nm0025629,nm0025629|nm0118406|nm0621255
tt0059354,nm0080406,nm1714668|nm0080406|nm0471424|nm1876198
tt0059445,nm0474775,nm0066066|nm0066074
tt0059498,nm0848342,\N
tt0059610,nm0756393,\N
tt0059709,nm0412465,nm0695609|nm0412465
tt0059893,nm0007181,nm0592578|nm0015296
tt0060104,nm0849195,nm0711156|nm1532889|nm1533033
tt0060145,nm0490178,nm0023551
tt0060306,nm0781830,nm1129275|nm1524886
tt0060317,nm1455833,\N
tt0060319,nm0474850,nm2157080|nm0474850|nm0659760
tt0060689,nm0451846,nm0015296|nm0436464
tt0061046,nm0695153,nm0023551|nm0781679
tt0061072,nm0080345,nm1127232|nm0315905
tt0061073,nm0025629,nm0403826
tt0061206,nm0109279,nm0109279|nm1207042|nm0659760|nm1339788
tt0061366,nm1487785,nm0438022|nm1487785
tt0061370,nm0890320|nm0049416,nm0756393
tt0061378,nm0403826,nm0066074|nm0403826
tt0061463,nm0839046,nm4706784
tt0061467,nm1224987,nm0023551|nm1389106|nm1224987
tt0061650,nm0619102,nm0011996|nm0038010|nm1224716
tt0061744,nm0159148,nm0015296|nm0159148|nm0667948
tt0061753,nm0802377,nm0611515|nm0802377
tt0061842,nm0025629,nm1129275|nm0025629
tt0061842,nm0025629,nm1129275|nm0025629
tt0061963,nm0080406,\N
tt0061974,nm0836899,nm2398138|nm0802379|nm0836899
tt0062177,nm0151192,nm1538297|nm0006769
tt0062177,nm0151192,nm1538297|nm0006769
tt0062640,nm0080406,nm0015296|nm1538297|nm1551475|nm1551865|nm0781679
tt0062692,nm0080358,nm0154123|nm10581561
tt0062748,nm0007815,nm0007815
tt0062897,nm0442395,nm0442657
tt0062918,nm0695153,nm0081980|nm0310170|nm1129275|nm0624248
tt0063003,nm0080406,nm0080406|nm2030994|nm0354648|nm0471424
tt0063111,nm0611535,nm0440589|nm2804904|nm1996654
tt0063178,nm0905561,nm0451844
tt0063404,nm0841918,nm0471424
tt0063532,nm0820232,nm0023551|nm1563127
tt0063533,nm0080406,nm0080406|nm0471424|nm2032927
tt0063540,nm0712540,nm0023551|nm1194313|nm0347899|nm1391276
tt0064086,nm0784019,nm1629676|nm0611515|nm0784019|nm2054103|nm2056007
tt0064164,nm0451846,nm0015296|nm0244898|nm0436464|nm0592578
tt0064241,nm0451846,nm0435414|nm0436464|nm1567895
tt0064244,nm0836899,nm0354648|nm0471424|nm0836899
tt0064396,nm0412465,nm0695609|nm0412465
tt0064506,nm0007181,nm0015296
tt0064842,nm0849195,nm0023551
tt0064857,nm0814343,nm1129275|nm1082205
tt0064915,nm0007815,nm0007815
tt0064935,nm0154113,nm0154113|nm1408315
tt0065064,nm0707705,nm0707705|nm0729815
tt0065416,nm0759662,nm0080432|nm0659760
tt0065467,nm0623178,nm7795321|nm0713593
tt0065484,nm0412465,nm0695609|nm0412465
tt0065758,nm0474840,nm0154123
tt0065764,nm0755997,\N
tt0065903,nm0756488,nm2633720|nm0756488
tt0065927,nm0707988,nm0066074|nm3724924|nm3724985
tt0065936,nm0759662,nm0310170|nm0620786
tt0066070,nm0004292,nm0007815|nm0006370
tt0066241,nm0007147,nm0007147
tt0066589,nm0788910,nm0006370
tt0066758,nm0759662,nm0051808|nm1031494|nm0659760
tt0066763,nm0611531,nm0611531|nm0347899|nm0611520|nm0244887
tt0066766,nm0802693,nm0015287|nm0080432|nm0347899
tt0066888,nm0403826,nm0080432|nm0403826
tt0067000,nm0007815,nm0007815
tt0067164,nm0611531,nm0347899|nm0611531|nm0611520
tt0067183,nm0007147,nm0007147
tt0067403,nm0783995,nm1338448|nm0438653
tt0067421,nm0347899,nm0347899|nm0593950
tt0067478,nm0149850,nm0080432|nm0440589|nm0620786
tt0067546,nm0025399,nm0023863|nm0025399
tt0067553,nm1057948,nm0451099|nm1339788|nm0747194
tt0067555,nm0841918,nm0440589|nm1504569
tt0067636,nm0619102,nm0011996|nm1224716
tt0067651,nm0836899,nm0025613|nm1393979|nm2806771
tt0067668,nm0004570,nm0713593
tt0067742,nm0304369,nm0310170|nm0620786
tt0067840,nm0025629,nm0025629|nm1538297|nm0188743
tt0068012,nm0410870,\N
tt0068215,nm5556806,nm1779921|nm2715807
tt0068217,nm0759662,\N
tt0068255,nm0894347,nm1532756|nm0894347
tt0068257,nm0611531,nm0802377|nm0611531|nm0347899
tt0068305,nm0708001,nm0471424|nm2032927
tt0068531,nm0784019,nm0315926|nm0784019
tt0068532,nm0410870,nm1538238|nm0410870
tt0068620,nm2055188,nm2055188|nm2057693
tt0068756,nm0214350,\N
tt0068929,nm0787511,nm0787511|nm1168263
tt0068938,nm0619102,nm1876312|nm0659760|nm1224716
tt0069152,nm0244876,nm1754517|nm0713592
tt0069204,nm0611531,nm0347899
tt0069218,nm0049416,\N
tt0069522,nm0707856,nm0097894
tt0069534,nm0891746,\N
tt0069542,nm0802377,nm0007815
tt0069671,nm0611531,nm0315905|nm0066074|nm1095779|nm1100176|nm0611531
tt0069711,nm0422559,nm1569099|nm0430799|nm1574855
tt0069751,nm0333031,nm0416078|nm0707705
tt0069759,nm0894340,nm0015296
tt0069810,nm0004292,nm0007815|nm0415833|nm0766150
tt0069871,nm0025629,nm0025629|nm1538297|nm0762779
tt0070009,nm0002411,nm0221880
tt0070097,nm0820232,\N
tt0070241,nm0814343,nm0315905|nm0620786|nm0659760
tt0070253,nm0149850,nm0080432|nm0620786|nm0729815
tt0070434,nm0611531,nm1095779|nm0347899|nm0611520|nm0611531|nm2037790|nm1100176
tt0070558,nm0713587,nm0713587|nm0713593
tt0070637,nm0747194,nm0593954|nm0747194|nm0764314
tt0070935,nm0403826,nm0015287|nm0403826|nm0451311
tt0070947,nm0576488,nm0015287|nm0451311
tt0071083,nm0442391,nm0442391
tt0071145,nm0070867,nm0070867|nm0239270
tt0071205,nm0066066,nm0066066|nm1754517|nm0434318
tt0071307,nm1130698,nm0015296
tt0071317,nm0784019,nm0154204|nm0784019
tt0071436,nm0346618,nm1338353|nm0080432
tt0071541,nm0623321,nm0430799|nm1129275
tt0071714,nm0783995,nm1338448|nm0438653
tt0071725,nm0315461|nm1369001,\N
tt0071730,nm0576454,nm1532756
tt0071800,nm0849200,nm0015287|nm0451311
tt0071811,nm0004433,nm0023551
tt0072064,nm0154113,nm0080209|nm0154113
tt0072100,nm0006370,nm0006370
tt0072109,nm0802377,nm0713592|nm3512306|nm0802377
tt0072632,nm1656504,nm0066074|nm1224062|nm1656504
tt0072642,nm5556806,\N
tt0072777,nm0154113,\N
tt0072783,nm0611531,nm0304370|nm0611520|nm0347899|nm1100176
tt0072860,nm0007181,nm0015287|nm0451311
tt0072870,nm0196380,nm0707274
tt0072972,nm0611562,nm0347899|nm0435673|nm1843334|nm1818198|nm0611473
tt0073034,nm0766166,nm0044340|nm0952067|nm0161032
tt0073104,nm0576488,nm0030116|nm1338448|nm0408526|nm1136699
tt0073112,nm0857061,nm1338448|nm1226230
tt0073191,nm0788930,\N
tt0073224,nm0619102,nm1260863|nm0659760|nm1224716
tt0073236,nm0849200,nm0062620|nm0080432|nm0434318|nm1620221
tt0073391,nm0611531,nm0244887|nm0713592|nm1100176
tt0073458,nm0070867,nm0854919|nm0239270
tt0073569,nm0451846,nm1754517|nm0451846|nm0713592
tt0073657,nm0438030,nm2882701|nm0445474|nm1339788
tt0073707,nm0802693,nm0015287|nm0451311
tt0073707,nm0802693,nm0015287|nm0451311
tt0073837,nm0451394,\N
tt0073923,nm0856901,nm0430799|nm0592588
tt0073924,nm0159162,nm0015296|nm0667948
tt0074417,nm0346618,nm1338353|nm0315905|nm1275836
tt0074503,nm0759662,nm0080432|nm0659760
tt0074730,nm0007181,nm0159158|nm0765166
tt0074858,nm0070867,nm0044340|nm0070867|nm0475704|nm0854919
tt0074926,nm0784019,nm0154204|nm1718013|nm0784019
tt0074949,nm0463319,nm0025613|nm1245610|nm1077938|nm1245832
tt0074955,nm0451846,\N
tt0075618,nm0593967,\N
tt0075632,nm0066066,nm0066066
tt0075653,nm0611531,nm0244887|nm0611531|nm1539595|nm0713592|nm0873036
tt0075669,nm0220828,nm1570338|nm0434318|nm0707274|nm1575793|nm0795652
tt0075747,nm0070867,nm0905571|nm0439784|nm0239270|nm0070867
tt0075825,nm2147526,nm2147526
tt0075826,nm0857061,\N
tt0075977,nm0781830,\N
tt0076167,nm0403826,nm0080432|nm0403826
tt0076177,nm0611521,nm0015287|nm0451311
tt0076259,nm0474859,nm0434318|nm0474859|nm0795652
tt0076288,nm0201923,\N
tt0076515,nm0707705,nm0416078|nm0707705
tt0076527,nm0220828,nm0434318|nm0707274|nm0795652
tt0076696,nm0006249,nm0695919|nm0006249|nm0952067|nm0796503
tt0077172,nm0070867,nm0038010|nm0070867|nm1021245|nm0439784
tt0077179,nm0592595,nm0592595|nm0592990|nm0854919
tt0077183,nm0783995,\N
tt0077200,nm0422559,nm0430799|nm0538297|nm2134298
tt0077226,nm0894340,\N
tt0077392,nm0004570,nm0592599
tt0077451,nm0056423,nm0015287|nm0451311
tt0077596,nm0014180,nm0315905|nm1618268|nm0592599|nm1191448
tt0077609,nm1128822|nm0347899,nm0856897
tt0077792,nm0066918,nm0430799|nm0592588|nm2033549|nm2030810
tt0077797,nm0154113,nm0154113|nm0154133
tt0078139,nm0151274,\N
tt0078204,nm0004292,nm0415833
tt0078222,nm0802693,nm0015287|nm1338448|nm0451311
tt0078241,nm0787452,nm0434318|nm2153422|nm1195250|nm0787452|nm0792589
tt0078738,nm0151274,\N
tt0078739,nm2436882,\N
tt0078761,nm0471471|nm0897216,\N
tt0079221,nm0611531,nm1171925|nm0080432|nm0713592
tt0079236,nm0759662,nm0097894|nm0310170|nm0667948|nm0759662|nm1576991
tt0079263,nm0576494,nm0023551|nm2583174
tt0079316,nm0412465,nm0695609
tt0079355,nm0463319,nm0025613|nm2057693|nm1245610|nm1077938
tt0079364,nm0154113,\N
tt0079382,nm0611531,nm0244887|nm0713592
tt0079386,nm0007181,nm0015287|nm0451311
tt0079526,nm0154113,nm1271397|nm0430801
tt0079584,nm0474859,nm1088936|nm0434318|nm0474859|nm1022269
tt0079589,nm0463319,nm1351748
tt0079590,nm0576488,nm1136699|nm0434318|nm1138093
tt0079614,nm0578628|nm0841918,\N
tt0079749,nm0265752|nm0576494,nm0049250|nm0754285
tt0079938,nm0660936,nm0660936
tt0079963,nm0220828,nm0434318|nm0707274|nm0795652
tt0080322,nm0631539,nm0239270|nm0854919
tt0080343,nm0592595,nm1195250|nm0592595|nm0787453
tt0080638,nm0474859,nm1088936|nm0080432|nm0434318|nm1022269
tt0080653,nm0451846,nm0015287|nm0451311
tt0080901,nm0052677,nm0437031|nm0611971|nm0713592|nm0795664
tt0080926,nm0159148,nm0474883
tt0080982,nm0070867,nm0439784|nm0070867|nm0239270
tt0081147,nm0347899,nm0052284|nm0347899
tt0081219,nm0007815,\N
tt0081401,nm0025629,nm0025629|nm0436804
tt0081453,nm0002411,nm0002411
tt0081453,nm0002411,nm0002411
tt0081491,nm0802693,nm0015287|nm0451311
tt0081605,nm0904504,\N
tt0081624,nm0795430,nm0596130|nm0795430
tt0081783,nm0451394,\N
tt0082071,nm0052677,nm0052284|nm1339788
tt0082162,nm0660936,nm0660936
tt0082504,nm0595924,\N
tt0082594,nm0025627,nm0025613|nm0025627|nm1526222|nm1217897|nm1684576
tt0082644,nm0576488,nm1569099|nm0434318|nm0576488|nm1160321
tt0082796,nm0611531,nm1278451|nm1522359|nm0611520|nm1351622|nm0713592
tt0082797,nm0220828,nm0434318|nm0707274|nm0795652|nm1022269
tt0083018,nm0006249,nm0695919|nm0706788|nm0006249
tt0083081,nm0007181,nm1768254|nm0007181|nm0765166|nm0788906
tt0083248,nm0019464,nm1718023|nm0952067|nm0796503|nm0019464
tt0083349,nm0474859,nm1088936|nm1136699|nm0434318
tt0083569,nm0080192,nm0080192|nm1672155
tt0083570,nm0059395,nm0059395|nm0710555
tt0083575,nm0070867,nm0952067
tt0083578,nm0080315,nm0080315|nm0784044
tt0083608,nm0463319,\N
tt0083636,nm0611531,nm0080432|nm0611514|nm0611520|nm1351622|nm0713592
tt0083790,nm0004570,\N
tt0083820,nm0220828,nm0434318|nm1376084|nm0707274
tt0084199,nm0849200,nm0434318
tt0084324,nm0007131,nm0015287
tt0084385,nm0576488,\N
tt0084393,nm0149850,nm0080432|nm0729815
tt0084532,nm0004292,nm0133781|nm0415833|nm0802143
tt0084630,nm0802692,nm1338448|nm0434318|nm0841918
tt0084667,nm0802693,nm0015287|nm0451311
tt0084744,nm0007147|nm0220844,\N
tt0084840,nm0665374,nm0222147|nm0632587|nm0854919
tt0084866,nm0007131,\N
tt0085165,nm0851253,\N
tt0085178,nm0631539,nm1135640|nm0222147|nm0659924|nm0854919
tt0085361,nm0707274|nm0220828,nm1570338|nm0434318|nm0707274|nm0795652
tt0085456,nm0762638,nm0762779
tt0085743,nm0787453,nm0438499|nm0442479|nm0592803|nm0787453
tt0085776,nm0660936,\N
tt0085785,nm0784019,nm0593958|nm0784019
tt0085886,nm0708001,nm0434318
tt0085896,nm0070867,nm0952067|nm0239270|nm0070867|nm1844723
tt0085912,nm0007181,nm0015287
tt0085913,nm0001408,nm0347899
tt0086156,nm0066918,nm0430799|nm0436464
tt0086170,nm0611531,nm0436804|nm0611531|nm1351622
tt0086230,nm0536818,nm0347899|nm0536818
tt0086597,nm0052677,nm0080180|nm0415833
tt0086892,nm0802692,nm0080432|nm0451168|nm0434318
tt0087417,nm0576559,nm0253913|nm1195250|nm0576559
tt0087434,nm0321553,nm0321553
tt0087474,nm0851253,nm0434318|nm1295045
tt0087492,nm0899649,nm0899649|nm0713592
tt0087586,nm2223387,nm0436804|nm2223387
tt0087736,nm0592595,nm0576588|nm0592595|nm0592803
tt0087868,nm0315872,nm0051841|nm0097897|nm0315872|nm0611473
tt0087886,nm0031967,nm0031967
tt0087958,nm0755420,nm0081980|nm0611473|nm0787882
tt0087975,nm0463319,nm0025613
tt0088031,nm0080315,nm0080315|nm0002695|nm0784044
tt0088099,nm0576488,nm0434318|nm0576488|nm1138093
tt0088227,nm0787511,nm0787511|nm0787514
tt0088335,nm0439784,nm0060019|nm0080269|nm0430816|nm0439784|nm0837230
tt0088442,nm0710043,nm0080432|nm0611520|nm0713592|nm0764667
tt0088687,nm0002172,nm0435245|nm0436386|nm0795664
tt0088986,nm0422552,nm0422552
tt0089119,nm0007181,nm0080432|nm0765166
tt0089194,nm0707274,nm0434318|nm0707274|nm0795652
tt0089201,nm0244892,nm0244898
tt0089382,nm0729822,nm0015287
tt0089413,nm0006765,nm0006765|nm0438499|nm2186766|nm0592803|nm0787453|nm2192009
tt0089465,nm0670262,nm0063357|nm0670262|nm0795664
tt0089552,nm0220828,nm0025613|nm2016154|nm2016848|nm1031555|nm0707274|nm0795652
