crew_id,name,born_year,death_year,profession,known_for
nm0001408,Shekhar Kapur,1945,\N,actor|director|producer,tt0240510|tt0414055|tt0109206|tt0127536
nm0002172,Mukul Anand,1951,1997,director|writer|producer,tt0104607|tt0102201|tt0098999|tt0092026
nm0002411,Mani Kaul,1944,2011,director|writer|actor,tt0207626|tt0066514|tt0070009|tt0102515
nm0003939,Vikramaditya Motwane,1976,\N,producer|writer|director,tt0238936|tt3322420|tt1639426|tt1327035
nm0004072,Kaizad Gustad,1968,\N,director|writer|miscellaneous,tt0330082|tt3309662|tt0168529|tt0819646
nm0004292,Raj Kapoor,1924,1988,actor|producer|director,tt0066070|tt0152139|tt0058547|tt0084532
nm0004363,Rakesh Roshan,1949,\N,actor|producer|director,tt1029231|tt0432637|tt0254481|tt0234000
nm0004433,Shammi Kapoor,1931,2011,actor|director,tt0084866|tt1839596|tt0231226|tt0147925
nm0004434,Shashi Kapoor,1938,2017,actor|producer|assistant_director,tt0072860|tt0077783|tt0080982|tt0101283
nm0004466,E.V.V. Satyanarayana,1956,2011,director|writer|producer,tt1606217|tt1791479|tt1258121|tt0282554
nm0004564,Hema Malini,1948,\N,actress|producer|director,tt0337578|tt0073707|tt0081147|tt0072026
nm0004570,Sunil Dutt,1930,2005,actor|producer|director,tt0067668|tt0059354|tt0063404|tt0057332
nm0004630,Kodanda Rami Reddy A.,\N,\N,director|writer|actor,tt0331846|tt1625547|tt0245731|tt0245872
nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
nm0006348,Rajendra Kumar,1929,1999,actor|producer|miscellaneous,tt0234141|tt0246286|tt0139157|tt0058921
nm0006358,Shobhna Samarth,1916,2000,actress|director,tt0331297|tt0156360|tt0233586|tt0233303
nm0006370,Manoj Kumar,1937,\N,actor|writer|music_department,tt0072100|tt0233464|tt0146335|tt0149814
nm0006371,Mehboob Khan,1907,1964,director|producer|actor,tt0044318|tt0232674|tt0038302|tt0050188
nm0006498,Majid Majidi,1959,\N,director|writer|actor,tt0233841|tt0118849|tt0117315|tt0191043
nm0006659,Khalid Mohamed,\N,\N,writer|director|actor,tt0255713|tt0438981|tt0348172|tt0248012
nm0006765,Vidhu Vinod Chopra,\N,\N,writer|producer|director,tt0456144|tt0374887|tt1187043|tt2338151
nm0007113,Nana Patekar,1951,\N,actor|music_department|director,tt0110280|tt0402014|tt0451631|tt6929642
nm0007131,Subhash Ghai,1945,\N,writer|producer|actor,tt0107311|tt0119861|tt0152836|tt0102844
nm0007134,Farah Khan,1965,\N,miscellaneous|actress|writer,tt2461132|tt0292490|tt0347473|tt1024943
nm0007144,Santosh Sivan,\N,\N,cinematographer|director|producer,tt0249371|tt0169302|tt0295294|tt0870195
nm0007147,Dev Anand,1923,2011,actor|producer|director,tt0053980|tt0059246|tt0066241|tt0051806
nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
nm0007815,Khwaja Ahmad Abbas,1914,1987,writer|director|producer,tt0152400|tt0064915|tt0050820|tt0044360
nm0008943,John Abraham,1937,1987,director|writer|assistant_director,tt0077131|tt0090634|tt0078961|tt0078463
