imdb_id,title,original_title,is_adult,year_of_release,runtime,genres
tt0054098,Mughal-E-Azam,Mughal-E-Azam,0,1960,197,Drama|Romance|War
tt0096775,Agneekaal,Agneekaal,0,1990,161,Action|Crime|Drama
tt0098461,Thanedaar,Thanedaar,0,1990,151,Action|Crime|Drama
tt0098975,Aadhi Haqeeqat Aadha Fasana,Aadhi Haqeeqat Aadha Fasana,0,1990,88,Documentary
tt0098976,Aaj Ka Arjun,Aaj Ka Arjun,0,1990,164,Action|Crime|Drama
tt0098999,Agneepath,Agneepath,0,1990,174,Action|Crime|Drama
tt0099025,Amba,Amba,0,1990,153,Family
tt0099076,Awaargi,Awaargi,0,1990,149,Drama
tt0099080,Baaghi: A Rebel for Love,Baaghi: A Rebel for Love,0,1990,157,Action|Romance
tt0099081,Baap Numbri Beta Dus Numbri,Baap Numbri Beta Dus Numbri,0,1990,152,Action|Comedy|Crime
tt0099429,Dil,Dil,0,1990,172,Comedy|Drama|Romance
tt0099467,Drishti,Drishti,0,1990,171,Drama
tt0099651,Ghar Ho To Aisa,Ghar Ho To Aisa,0,1990,155,Drama
tt0099652,Ghayal,Ghayal,0,1990,163,Action|Crime|Drama
tt0099869,Izzatdaar,Izzatdaar,0,1990,172,Action|Crime|Drama
tt0099916,Kali Ganga,Kali Ganga,0,1990,\N,Action
tt0099929,Khilaaf,Khilaaf,0,1991,\N,Action|Comedy|Crime
tt0099943,Kishen Kanhaiya,Kishen Kanhaiya,0,1990,160,Action|Comedy|Drama
tt0100092,Maha-Sangram,Maha-Sangram,0,1990,159,Action|Drama|Romance
tt0100384,Police Public,Police Public,0,1990,127,Crime|Thriller
tt0100401,Pratibandh,Pratibandh,0,1990,159,Action|Drama
tt0100539,Sailaab,Sailaab,0,1990,\N,Drama|Romance
tt0101244,100 Days,100 Days,0,1991,161,Horror|Romance|Thriller
tt0101283,Ajooba,Ajooba,0,1991,178,Action|Adventure|Comedy
tt0101284,Akayla,Akayla,0,1991,180,Action|Drama|Thriller
tt0101432,Benaam Badsha,Benaam Badsha,0,1991,\N,Action|Crime|Drama
tt0101616,Coolie No. 1,Coolie No. 1,0,1995,143,Comedy
tt0101733,Dil Hai Ki Manta Nahin,Dil Hai Ki Manta Nahin,0,1991,154,Adventure|Comedy|Drama
tt0101742,Deewana Mujh Sa Nahin,Deewana Mujh Sa Nahin,0,1990,130,Comedy|Drama|Romance
tt0101887,First Love Letter,First Love Letter,0,1991,165,Romance
tt0102071,Hum,Hum,0,1991,184,Action|Crime|Drama
tt0102073,Humlaa,Humlaa,0,1992,\N,Action|Drama
tt0102119,Indrajeet,Indrajeet,0,1991,\N,Action|Drama
tt0102148,Jamai Raja,Jamai Raja,0,1990,\N,Drama|Romance
tt0102160,Jigarwala,Jigarwala,0,1991,132,Action|Drama
tt0102191,Kasba,Kasba,0,1991,121,Drama
tt0102200,Khel,Khel,0,1992,152,Comedy|Drama|Romance
tt0102201,Khoon Ka Karz,Khoon Ka Karz,0,1991,151,Action|Crime|Drama
tt0102258,Lamhe,Lamhe,0,1991,187,Drama|Musical|Romance
tt0102513,Narasimha,Narasimha,0,1991,214,Action|Drama
tt0102515,Nazar,Nazar,0,1990,124,Drama
tt0102645,Patthar Ke Phool,Patthar Ke Phool,0,1991,155,Action|Drama|Romance
tt0102701,Prahaar: The Final Attack,Prahaar: The Final Attack,0,1991,166,Action|Crime|Drama
tt0102702,Pratigyabadh,Pratigyabadh,0,1991,125,Drama
tt0102706,Prem Qaidi,Prem Qaidi,0,1991,156,Action|Romance
tt0102746,Kurbaan,Kurbaan,0,1991,\N,Action|Drama|Romance
tt0102825,Saajan,Saajan,0,1991,181,Drama|Musical|Romance
tt0102835,Sanam Bewafa,Sanam Bewafa,0,1991,160,Drama|Romance
tt0102844,Saudagar,Saudagar,0,1991,213,Action|Drama|Family
tt0102846,Saugandh,Saugandh,0,1991,153,Action|Drama|Romance
tt0103304,Yeh Aag Kab Bujhegi,Yeh Aag Kab Bujhegi,0,1991,\N,Drama
tt0103689,Angaar,Angaar,0,1992,176,Action|Crime|Drama
tt0103763,Balwaan,Balwaan,0,1992,142,Action|Adventure
tt0104072,Deedar,Deedar,0,1992,130,Drama|Romance
tt0104548,Jeevan Ek Sanghursh,Jeevan Ek Sanghursh,0,1990,159,Drama|Family
tt0104561,Jo Jeeta Wohi Sikandar,Jo Jeeta Wohi Sikandar,0,1992,174,Comedy|Drama|Romance
tt0104607,Khuda Gawah,Khuda Gawah,0,1992,193,Action|Adventure|Drama
tt0104645,Kshatriya,Kshatriya,0,1993,187,Action|Drama|War
tt0104660,Laat Saab,Laat Saab,0,1992,126,Action|Crime|Drama
tt0104854,Mere Sajana Saath Nibhana,Mere Sajana Saath Nibhana,0,1992,141,Drama|Musical
tt0104927,Mr. Bond,Mr. Bond,0,1992,127,Action|Adventure|Thriller
tt0104941,Muqabla,Muqabla,0,1993,162,Action|Crime|Drama
tt0105007,Nishchaiy,Nishchaiy,0,1992,146,Action|Drama|Romance
tt0105161,Pratikar,Pratikar,0,1991,150,Action|Crime|Drama
tt0105166,Prem Deewane,Prem Deewane,0,1992,160,Action|Adventure|Drama
tt0105209,Radha Ka Sangam,Radha Ka Sangam,0,1992,\N,Action|Drama|Romance
tt0105271,Roja,Roja,0,1992,137,Drama|Romance|Thriller
tt0105313,Sangeet,Sangeet,0,1992,144,Drama|Romance
tt0105315,Sapne Saajan Ke,Sapne Saajan Ke,0,1992,162,Drama|Romance
tt0105500,Suryavanshi,Suryavanshi,0,1992,161,Fantasy|Horror
tt0105515,Tadipaar,Tadipaar,0,1993,134,Action|Drama
tt0105762,Virodhi,Virodhi,0,1992,143,Drama
tt0105866,Yalgaar,Yalgaar,0,1992,192,Action|Drama|Thriller
tt0105897,Zindagi Ek Juaa,Zindagi Ek Juaa,0,1992,\N,Action
tt0106203,Aaina,Aaina,0,1993,149,Drama|Romance
tt0106204,Aankhen,Aankhen,0,1993,170,Action|Comedy|Crime
tt0106205,Aasoo Bane Angaarey,Aasoo Bane Angaarey,0,1993,150,Action
tt0106206,Aashik Aawara,Aashik Aawara,0,1993,\N,Drama
tt0106221,Aadmi Khilona Hai,Aadmi Khilona Hai,0,1993,158,Drama|Romance
tt0106270,Anari,Anari,0,1993,171,Comedy|Drama|Romance
tt0106287,Anmol,Anmol,0,1993,163,Drama|Family|Romance
tt0106333,Baazigar,Baazigar,0,1993,175,Crime|Drama|Musical
tt0106408,Bhaji on the Beach,Bhaji on the Beach,0,1993,101,Comedy|Drama
tt0106541,Chandra Mukhi,Chandra Mukhi,0,1993,152,Comedy|Fantasy|Romance
tt0106653,Dalaal,Dalaal,0,1993,160,Action|Drama
tt0106655,Damini,Damini,0,1993,175,Crime|Drama
tt0106725,Dil Tera Aashiq,Dil Tera Aashiq,0,1993,151,Comedy|Drama|Romance
tt0106799,Ek Hi Raasta,Ek Hi Raasta,0,1993,130,Action|Thriller
tt0106986,Gardish,Gardish,0,1993,153,Action|Crime|Drama
tt0107060,Gumrah,Gumrah,0,1993,149,Action|Crime|Drama
