imdb_id,imdb_rating,imdb_votes
tt8291224,8.4,35112
tt9472208,4.1,73
tt6986710,6.1,5549
tt8108208,6,1891
tt6028796,7.3,280
tt6078866,7.2,1595
tt5013008,4.2,504
tt4971258,4.3,295
tt6903440,6.5,7361
tt7777196,5.1,2301
tt8396186,2.8,235
tt2395469,8.2,22440
tt9319812,5.6,183
tt7639372,4.3,4817
tt8108200,7.5,2322
tt8130968,7.9,15499
tt8055888,7.4,3969
tt7527082,7.7,560
tt7778680,6.9,2391
tt9795264,6.7,11
tt8207768,6.8,344
tt9496212,5.3,124
tt6264938,7.4,10653
tt9105014,6.8,1335
tt7463730,5.3,1064
tt10017956,7.1,178
tt4355838,4.8,56
tt8108268,8,5524
tt6988116,3.6,9106
tt9239772,5.1,158
tt7255568,2.5,12671
tt9558612,3.3,4484
tt8647400,6.6,5387
tt8484942,4.4,1449
tt5525846,5.7,169
tt8268972,3.7,153
tt8983202,7.2,20535
tt10324144,8.3,13417
tt8130558,6.8,590
tt6862542,7.4,85
tt7485048,8.2,13972
tt8897986,9.4,895
tt8869978,7.3,5556
tt8206760,4.8,215
tt8108196,6,3269
tt7189494,6,19
tt7881524,4.1,676
tt8785426,4.2,767
tt7228072,7,43
tt8902990,6.6,1659
tt9248972,6.5,7165
tt6836936,5.5,12049
tt9248940,7.5,4077
tt8144834,8.4,1841
tt8304386,4.1,683
tt6978954,4.6,562
tt8706884,6,272
tt10816510,7.8,777
tt9378950,8.7,1379
tt9420648,8.2,1369
tt11007050,5.7,7
tt7721946,3.3,4572
tt8108206,8.9,1902
tt8983180,6.3,596
tt11046300,8.1,1440
tt9176260,7.1,51
tt9179426,4.6,34
tt6102396,6.2,1978
tt6275262,5.6,959
tt4335954,5.5,215
tt7723022,3.8,108
tt7180544,8.1,5434
tt6395306,7.6,1503
tt7853242,7.2,6248
tt6774212,5.2,3538
tt5935704,7,24550
tt7617988,7.5,578
tt7720254,4.4,25
tt7262178,2.8,380
tt7581902,7.1,17378
tt5325684,3.3,1203
tt6071752,4,289
tt4552546,7.1,288
tt7363076,7.4,13159
tt6588966,7.5,8129
tt7384848,5.7,1642
tt6843812,5,7657
tt7700730,7.5,11125
tt7881558,6.2,774
tt3224288,6.9,1611
tt7412738,6.2,853
tt4979110,5.1,205
tt6978268,7,660
tt7098658,7.8,20289
tt8324474,6.4,289
tt8175968,5.2,252
tt7260848,5.6,182
tt6826438,7.7,18292
tt8223250,7.7,718
tt6129302,7.6,4928
tt8338746,3.7,207
tt7431594,2,30038
tt7638344,4.5,8363
tt6452574,7.8,42718
tt7695014,4.3,631
tt8060624,4.7,748
