imdb_id,story,summary,tagline,actors,wins_nominations,release_date
tt0349122,Amit (Rakesh Roshan) is a big city boy  but his parents (Utpal Dutt and Usha Kiran) want him to marry a village girl  Madhuri (Rekha). Amit reluctantly agrees and goes through the wedding ceremony  but on the pretext that the dowry gold is not genuine  leaves his bride. Madhuri and her brother (Rakesh Bedi) concoct a scheme to try and convince Amit that Madhuri can also be a big city girl. Will Madhuri and Shrikanth succeed?,Amit (Rakesh Roshan) is a big city boy  but his parents (Utpal Dutt and Usha Kiran) want him to marry a village girl  Madhuri (Rekha). Amit reluctantly agrees and goes through the wedding ...                    ,,,,18 December 1989 (India)
tt0098168,Sharda (Raakhee) vows vengeance when her husband is murdered by his two evil cousins  Bhishamber (Amrish Puri) and Bhanu (Paresh Rawal)  and she and her two young sons are thrown out on the street. Those sons grow into the upstanding police officer Ram (Jackie Schroff) and the easily tempted dreamer Lakhan (Anil Kapoor). If the family is to be avenged  Ram will have to lead his brother away from the path of corruption he's strayed onto  and protect him from the influence of Bhanu and Bhishamber.,Sharda (Raakhee) vows vengeance when her husband is murdered by his two evil cousins  Bhishamber (Amrish Puri) and Bhanu (Paresh Rawal)  and she and her two young sons are thrown out on the...                    ,,Rakhee Gulzar|Jackie Shroff|Anil Kapoor|Dimple Kapadia|Madhuri Dixit|Gulshan Grover|Amrish Puri|Paresh Rawal|Anupam Kher|Saeed Jaffrey|Raza Murad|Dalip Tahil|Annu Kapoor|Satish Kaushik|,2 wins & 4 nominations,27 January 1989 (India)
tt0122427,Anju and Manju  identical twins separated at birth. Born to a rich father who is paralyzed  they are brought up in totally contrasting environments. Anju is brought up in her father's house  bullied by her stepmother and her brother. She is constantly terrorized by them and often ends up in tears. Manju is a street smart girl  dancing in a hotel and ready to take on the world. They accidentally exchange places; Anju lands up in Manju's house and Manju in her father's palatial house. She takes up cudgels on behalf of the down trodden and soon discovers that she has a twin. She soon turns tables on Hattangadi and Kher.,Twins separated at infancy are brought up differently. One weak  one strong. One day  they end up at each others house. Their life is not the same anymore.,,Sridevi|Sunny Deol|Rajinikanth|Anupam Kher|Shakti Kapoor|Annu Kapoor|Saeed Jaffrey|Aruna Irani|Rohini Hattangadi|Aftab Shivdasani|,2 wins,8 December 1989 (India)
tt0096896,In India circa after the British Rule  there is a princely family consisting of Bade Thakur (Shammi Kapoor)  his sons Devan (Vijayendra Ghatge)  Vikram Singh (Vinod Khanna)  and a third son who is a Police Officer (Mohsin Khan). Devan is threatened by the changes taking place in India  and the gradual erosion of power by princely families and zamindars. His brothers  on the contrary  accept the change. Vikram even has a lowly peasant  Sumer Singh (Dharmendra) for a friend. But fate has something else in store for these two friends. Things come to such a boil that eventually Bade Thakur may have to decide to split the estate. How will this effect the relationships of the father and the sons? Will this impact on the friendship of Sumer and Vikram?,In India circa after the British Rule  there is a princely family consisting of Bade Thakur (Shammi Kapoor)  his sons Devan (Vijayendra Ghatge)  Vikram Singh (Vinod Khanna)  and a third son...                    ,,Dharmendra|Vinod Khanna|Dimple Kapadia|Poonam Dhillon|Amrita Singh|Amrish Puri|Shammi Kapoor|Vijayendra Ghatge|Neena Gupta|Asha Parekh|Kulbhushan Kharbanda|,1 nomination,14 July 1989 (India)
tt0233146,Anita lives an abusive life-style with her alcoholic uncle in Kashmir  India who in lieu of money and alcohol attempts to sell her. Fortunately she manages to escape in time only to board a jeep with Nagraj and three of his colleagues who attempt to sexually molest her; when the jeep reaches Srinagar  her call for help gets notice by an employee who works at a near-by gas station  Kishen who manages to rescue her by overpowering Nagraj and his men. Kishen then takes Anita to his house where both fall in love with each other and they get intimate which results in Anita getting pregnant. Before she can give birth; Nagraj closes in on Kishen by raping his sister  Reshmi and in retaliation Kishen attacks but Nagraj manages to abscond not before setting fire to the gas station where Kishen is employed. Bearing witness to this Anita attempts suicide only to be rescued by a police officer  Ranjit Malik - who she marry and who gives her the privilege to give birth to Kishen's child whose name...,Anita lives an abusive life-style with her alcoholic uncle in Kashmir  India who in lieu of money and alcohol attempts to sell her. Fortunately she manages to escape in time only to board a...                    ,,Jeetendra|Raj Babbar|Anita Raj|Govinda|Sonam|Sujit Kumar|Sadashiv Amrapurkar|Ajitesh|Dev Kumar|Mac Mohan|Jagdish Raj|Jaya Mathur|Coca Cola|K.K. Raj|,,
tt0177489,Poverty and hunger forces young Shankar to take up employment as a mechanic. To this extent all is well for him until he is arrested by the police for a crime he did not committed; but Shankar manages to escape only to witness that his mom die of shock; unable to bear the police arrest her son. Shankar is then taken in by a criminal don  Raja Babu who teaches him each and every criminal activity that exists. Years later Shankar is now known as Shakka who works for Raja Babu as a professional criminal. One day Shakka experiences a change of heart when he is asked to abducted a small child which results in the death of the mother; he turns himself into the police  the case is tried in court and Shakka is sentenced to five years imprisonment but because he save the life of a Minister his sentence is reduced to three years. When Shakka is released from jail he decides to give up his criminal ways  marry Aarti  buys a garage to earn his living and is the proud father of a baby boy Vicky ...,Poverty and hunger forces young Shankar to take up employment as a mechanic. To this extent all is well for him until he is arrested by the police for a crime he did not committed; but ...                    ,,Sunny Deol|Dimple Kapadia|Archana Puran Singh|Shakti Kapoor|Prem Chopra|Om Shivpuri|Raza Murad|Anjana Mumtaz|Mahesh Anand|Sharat Saxena|Atlee Brar|Gurbachan Singh|Bob Christo|Jagdish Raj|,,
tt0100816,Honest  diligent and brave Police Inspector Karan Saxena while carrying out his investigations against gangster and smuggler Bhujang is mysteriously framed and transfer to a remote area called Madhavpur. While residing there Karan sets to put things right and gets into confrontations with a bandit  Jai Singh who is good at heart and always ready to fight for the oppressed because his own dad  a brave Martyr has been killed by Bhujang  he too join with Karan to wreak vengeance against Bhujang. Ravi the son of the Mumbai Police Commissioner  Mathur joins Bhujang gang secretly wanting to get his own revenge from Bhujang. These three men Ravi  Karan and Jai manage to gather evidence against Bhujang and his gang and sets out on a dangerous road of crime  without the laws help in order to liberate the country from Bhujang / Bhairav Singh and his gang.,A honest but disgraced Police Inspector's attempts to clear his name pits him against terrorists and the brother of his sweetheart.,A Volcanic Saga of Three Angry Men,Naseeruddin Shah|Sunny Deol|Jackie Shroff|Madhuri Dixit|Sonam|Sangeeta Bijlani|Anupam Kher|Amrish Puri|Raza Murad|Dalip Tahil|Sharat Saxena|Tej Sapru|Dan Dhanoa|Rajesh Vivek|,2 wins & 2 nominations,7 July 1989 (India)
tt0231214,Mala is the daughter of Kishanlal who works as a servant with a wealthy family. One day Mala meets with the owner of this family  who is so impressed with Mala that he asks for her hand in marriage for his fourth son  Gopal  which Kishanlal humbly accepts. As a result Mala gets married to Gopal  and moves in to their palatial home. While Mala is extremely helpful and sweet-natured  the rest of the daughter-in-laws  three of them  are quite the opposite. When bad times befall this family  the owner passes away; Gopal and Mala move out  leaving Gopal's mother at the mercy of her indifferent sons  Girdhar  Murli  Manohar  and their abusive wives who refuse to assist in any household work  virtually forcing their aged mother-in-law to all menial work  not looking after her needs  even when she becomes ill  and ultimately throwing her out of the house. Gopal gains popularity as a musician  while his brothers mortgage their family home with a moneylender. They decide to live off Gopal  and ...,Mala is the daughter of Kishanlal who works as a servant with a wealthy family. One day Mala meets with the owner of this family  who is so impressed with Mala that he asks for her hand in ...                    ,,Shammi Kapoor|Rishi Kapoor|Meenakshi Sheshadri|Raj Kiran|Satish Shah|Gulshan Grover|Aruna Irani|Shoma Anand|Jayshree T.|Ashok Saraf|Sushma Seth|C.S. Dubey|Pinchoo Kapoor|Shivraj|,,7 April 1989 (India)
tt0096922,Bhrastachar tells the story of a disparate group of characters whose lives overlap- Bhavani  a journalist fighting injustice and corruption; Janki a widow who becomes the mistress of local hoodlum Fatte to save her blind daughter; Inspector Ashutosh  to whom Bhavani entrusts Janki's safety and who maintains that even the police can take no action against Fatte  because politicians need hoodlums to remain in power; Purushottam  Fatte's political godfather who tries to win votes by promising the people a fair and an ideal government and Sattar  who  although himself a Don of the underworld  is not a vicious and depraved person like Purushottam and tries to help Bhavani.,Bhrastachar tells the story of a disparate group of characters whose lives overlap- Bhavani  a journalist fighting injustice and corruption; Janki a widow who becomes the mistress of local ...                    ,,Rekha|Mithun Chakraborty|Anupam Kher|Raza Murad|Anjana Mumtaz|Abhinav Chaturvedi|Shilpa Shirodkar|Rajinikanth|Padma Khanna|Sudhir Pandey|Vinod Nagpal|Girja Shankar|Vikas Anand|Bharti Achrekar|,,22 November 1989 (India)
tt0100095,Kishen Kumar Chaudhary and Karan are family like friends  when Kishen's wife Mrs. Kaushalya gives birth to a baby boy Prem  Karan helps the couple bring up their child with out- most care. Years later the two friends have parted ways  Karan likes in a shanty house  works as a mechanic and is the father to a young girl Suman while Kishen is a wealthy industrialist and lives in a spacious bungalow. In order to accumulate huge sums of fund abroad for good living Karan decides to leave Suman in the care of the Chaudhary's family. All is well there for Suman as she is befriend by Prem which eventually blossom to love  Kaushalya finds out about Prem and Suman's relationship and approve of Suman as her daughter-in-law but Kishen is quite unhappy with the relationship as he have plans to get Prem marry to his business partner's daughter Seema thus he insults Suman and throw her out of his house. Karan returns and is enraged at the treatment his daughter receive and leaves the house ...,After Suman's father leaves her in the care of another family while he travels abroad  she falls in love with Prem. However  in order to for them to marry  Prem has to prove to Suman's father that he is not the same as his own dad.,,Salman Khan|Bhagyashree|Alok Nath|Rajeev Verma|Reema Lagoo|Ajit Vachani|Harish Patel|Deep Dhillon|Huma Khan|Handsome|Pervin Dastur|Shreechand Makhija|Rakesh Shrivastav|Dilip Joshi|,6 wins & 5 nominations,29 December 1989 (India)
