movie_id,title
139,Target (1995)
568,Bhaji on the Beach (1993)
1900,Children of Heaven  The (Bacheha-Ye Aseman) (1997)
2284,Bandit Queen (1994)
5985,Asoka (Ashoka the Great) (2001)
6244,Salaam Bombay! (1988)
6674,War and Peace (Jang Aur Aman) (2001)
6683,Fire (1996)
8971,Veer Zaara (2004)
27131,Dil Se (1998)
27163,Something Is Happening (Kuch Kuch Hota Hai) (1998)
27326,Devdas (2002)
27362,Sometimes Happiness  Sometimes Sorrow (Kabhi Khushi Kabhie Gham) (2001)
27518,D.C.H. (Dil Chahta Hai) (2001)
27729,Kal Ho Naa Ho (2003)
30905,Bomb the System (2002)
31600,Deceivers  The (1988)
33688,Parineeta (2005)
34435,Sholay (1975)
34466,Hum Dil De Chuke Sanam (1999)
35828,Black (2005)
36083,Main Hoon Na (2004)
36086,Dilwale Dulhania Le Jayenge (1995)
41650,Mother India (1957)
42208,Paheli (2005)
45036,Chess Players  The (Shatranj Ke Khilari) (1977)
46770,Krrish (2006)
48239,Yuva (2004)
50279,My Bollywood Bride (2006)
51884,Namesake  The (2006)
52182,Eklavya: The Royal Guard (2007)
55098,Paint It Yellow (Rang De Basanti) (2006)
56167,Om Shanti Om (2007)
57183,Like Stars on Earth (Taare Zameen Par) (2007)
58111,Jodhaa Akbar (2008)
58933,Saawariya (2007)
64650,Marriage Made in Heaven  A (Rab Ne Bana Di Jodi) (2008)
69136,Don (1978)
69187,Billu (2009)
69269,Salaam Namaste (2005)
71444,Thirst (Pyaasa) (1957)
71460,Wanted (2009)
71688,Jab We Met (2007)
72325,Paper Flowers (Kaagaz Ke Phool) (1959)
72587,Pure One (Pakeezah) (1972)
72953,Less of Sugar (Cheeni Kum) (2007)
73051,Guru (2007)
73170,Aaja Nachle (2007)
73513,Swades: We  the People (Our Country) (2004)
73881,3 Idiots (2009)
73900,Hum Tum (2004)
74404,Hero: Love Story of a Spy  The (2003)
74406,Lucky: No Time For Love (2005)
74426,Mohabbatein (2000)
74641,Singh Is Kinng (2008)
74787,My Name is Khan (2010)
76051,Delhi-6 (2009)
76056,New York (2009)
76132,B.N.B. (Bunty Aur Babli) (2005)
76238,One 2 Ka 4 (2001)
