userId,movieId,rating,timestamp
172,94969,5,1396067836
172,98956,4,1396067879
176,73881,4,1499807147
221,1900,4.5,1288550866
333,33688,4,1412015122
333,78408,2,1412015747
333,81111,3,1412015924
333,94190,5,1412016036
339,167038,0.5,1527515624
422,64650,5,1529609466
422,94663,4,1529609472
537,144984,2,1449413044
540,6244,4.5,1181483583
540,36086,3,1417039811
540,41650,2,1417127100
587,27326,4,1353754668
591,55098,4.5,1535212950
600,120138,4.5,1447612484
605,27729,0.5,1383558944
818,167392,3.5,1520793943
856,568,3,949625393
1040,133389,2,1463918475
1073,76056,4.5,1461545736
1073,82906,4.5,1461548369
1073,105477,4.5,1461547866
1073,143565,4.5,1461548506
1089,30905,2.5,1337386070
1137,57183,4,1450344587
1147,154276,4,1463983638
1147,157106,0.5,1463983447
1147,159065,0.5,1463983615
1197,2284,4,954257934
1197,73051,4,1277634230
1272,107883,3.5,1414683025
1507,34435,0.5,1454779946
1507,97648,2,1454779567
1507,109093,0.5,1455205088
1507,117506,0.5,1454779894
1507,121370,0.5,1454780068
1507,135500,0.5,1454780106
1507,135763,0.5,1454779921
1507,135795,0.5,1454780128
1507,151461,0.5,1455285829
1524,156545,4,1496175698
1695,71460,3.5,1282132884
1742,5985,3.5,1439336842
1742,8971,3.5,1439336795
1742,27131,3.5,1439336805
1742,27163,4.5,1439336274
1742,27362,4,1439336504
1742,34466,3,1439337219
1742,36083,3.5,1439336819
1742,56167,4,1439336964
1742,69187,3,1439336901
1742,73513,4,1439336492
1742,74641,3,1439336945
1742,74787,4,1439336809
1742,82980,4,1439336954
1742,83337,3,1439336884
1742,83339,3.5,1439336865
1742,83424,3,1439336707
1742,91241,3,1439337205
1742,98198,3,1439336920
1742,101640,4,1439336880
1742,104379,4,1439336972
1742,112640,3.5,1439337009
1742,121133,3.5,1439337027
1742,134182,3,1439336931
1742,135771,3.5,1439336546
1742,135823,4,1439336714
1742,138804,3,1439336988
1776,51884,4,1290868464
1781,6683,5,1245005823
1913,139148,4,1437652435
1935,185601,1,1523365644
1966,178673,4,1506766939
2025,170637,4,1521327581
2056,6683,4,1436061735
2057,8971,4,1237030220
2069,73881,4,1495377371
2098,83424,2.5,1447503441
2132,151459,2,1466292102
2150,51884,4,1202714397
2243,1900,4.5,1420598877
2245,71460,3.5,1254737484
2280,167392,3.5,1489727269
2294,81111,3.5,1515459963
2294,107883,2.5,1513176993
2294,109455,3,1506477772
2294,154160,1.5,1511902939
2294,178489,1,1506388299
2381,2284,4,938910714
2419,94969,3,1365538405
2440,6244,4,1324354832
2440,100336,3.5,1395066796
2440,109728,3,1398434375
2440,129437,3.5,1449964558
2440,130492,3.5,1485745392
2440,133389,3.5,1488410825
2440,133699,3.5,1458689065
2440,135841,3,1436896076
2440,148058,4,1475015354
2440,160301,3,1520047833
2440,160555,3.5,1516198992
2700,27362,3.5,1181716411
2700,33688,3.5,1159207984
2881,74787,4,1485765884
3079,27131,3,1529269451
3079,27163,3,1526311137
3079,34435,3,1526914280
3079,36086,3,1526914589
3079,74426,1.5,1529269181
3079,83266,1.5,1529269141
3079,83457,2.5,1526914428
3079,101664,3,1529269358
3079,132952,3,1529269020
3079,134240,3,1526311151
3079,135775,2.5,1529269531
3079,142823,3,1526914604
3079,146244,2.5,1529269379
3144,56167,3,1428228013
3144,118258,3.5,1428439002
3162,42208,3,1370338147
3162,58933,2.5,1392878487
3162,76241,1,1392878862
3162,108514,3.5,1395713114
3162,168168,1.5,1506930819
3162,175559,1,1500193889
3283,151461,2,1460360537
3341,147940,1,1448909626
3400,5985,2,1041888752
3528,568,4,850446006
3770,73513,4,1473653909
3770,161034,2,1473653888
3938,71688,0.5,1278900223
4109,34435,4,1265915753
4109,36086,2,1265915767
4109,42208,3.5,1265915314
4109,51884,3,1265915756
4109,71688,3.5,1265915270
4109,73881,4,1265915135
4109,73900,3,1265914919
4124,1900,5,965360250
4125,117310,5,1452327622
4203,57183,3.5,1535151604
4203,74787,3.5,1496012768
4203,104379,2.5,1495400962
4203,104996,3.5,1496001691
4203,112903,2,1502873521
4203,112907,3,1515702536
4203,120138,3.5,1532173048
4203,121370,2,1536965522
4203,130618,3,1532892581
4203,134182,3,1514229866
4203,148070,3,1521236553
4203,150344,3,1535750375
4203,151547,2.5,1523133923
4203,154468,3,1495739681
4203,163591,2.5,1534019720
4226,27362,4,1467437489
4226,27518,3.5,1525461271
4226,27729,3.5,1527104610
4226,55098,4.5,1525106063
4226,58111,3.5,1526762121
4226,73513,4.5,1523528084
4226,83264,4,1528063163
4226,89554,4.5,1525461252
4226,98198,4.5,1525390290
4226,98956,4,1525030395
4226,108514,4.5,1529142415
4226,134230,4,1529142490
4226,135601,4,1533483665
4226,139148,1.5,1526769237
